player_name,salary,team_abbreviation,age,player_height,player_weight,country,draft_year,draft_round,draft_number,games_played,pts,reb,ast,offensive_reb_pct,defensive_reb_pct,usage_pct,true_shooting_pct,assist_pct
Steve Goodrich,37000,CHI,25.0,208.28,99.79024,USA,Undrafted,Undrafted,Undrafted,12,1.6,1.8,0.5,0.068,0.128,0.10400000000000000,0.451,0.075
Steve Kerr,2200000,SAS,35.0,190.5,81.64656,USA,1988,2,50,55,3.3,0.6,1.0,0.011000000000000000,0.051,0.135,0.546,0.14300000000000000
Steve Nash,5500000,DAL,27.0,190.5,88.45044,Canada,1996,1,15,70,15.6,3.2,7.3,0.023,0.078,0.21100000000000000,0.603,0.335
Steven Smith,8100000,POR,32.0,203.2,100.243832,USA,1991,1,5,81,13.6,3.4,2.6,0.042,0.086,0.19700000000000000,0.5870000000000000,0.139
Stromile Swift,3164000,VAN,21.0,205.74,102.0582,USA,2000,1,2,80,4.9,3.6,0.4,0.099,0.154,0.165,0.48700000000000000,0.035
Tariq Abdul-Wahad,4500000,DEN,26.0,198.12,101.151016,France,1997,1,11,29,3.8,2.0,0.8,0.035,0.11900000000000000,0.17,0.43800000000000000,0.087
Terrance Roberson,,CHH,24.0,200.66,97.52228000000000,USA,Undrafted,Undrafted,Undrafted,3,0.0,0.3,0.3,0.0,0.077,0.134,0.0,0.111
Terrell Brandon,8325000,MIN,31.0,180.34,78.471416,USA,1991,1,11,78,16.0,3.8,7.5,0.024,0.098,0.221,0.507,0.326
Terry Davis,548000,DEN,34.0,208.28,122.46984000000000,USA,Undrafted,Undrafted,Undrafted,19,1.7,2.8,0.4,0.102,0.174,0.07400000000000000,0.47600000000000000,0.05
Terry Mills,,IND,33.0,208.28,104.32616,USA,1990,1,16,14,1.8,1.5,0.4,0.037000000000000000,0.168,0.174,0.368,0.08200000000000000
Terry Porter,2200000,SAS,38.0,190.5,92.98636000000000,USA,1985,1,24,80,7.2,2.5,3.1,0.017,0.11200000000000000,0.16700000000000000,0.583,0.248
Theo Ratliff,7800000,PHI,28.0,208.28,102.0582,USA,1995,1,18,50,12.4,8.3,1.2,0.08200000000000000,0.172,0.172,0.562,0.054000000000000000
